Word :  gabriel 	 Frequency : 1
Word :  plaingnant 	 Frequency : 1
Word :  lundiatcd 	 Frequency : 1
Word :  élimination 	 Frequency : 1
Word :  globales 	 Frequency : 1
Word :  apportées 	 Frequency : 2
Word :  matinapyretiquetousse 	 Frequency : 1
Word :  lontemps 	 Frequency : 1
Word :  64arrivé 	 Frequency : 1
Word :  00h00 	 Frequency : 23
Word :  honoraires 	 Frequency : 1
Word :  linfirmierie 	 Frequency : 3
Word :  13h05 	 Frequency : 1
Word :  bete 	 Frequency : 1
Word :  202 	 Frequency : 6
Word :  joursne 	 Frequency : 2
Word :  roit 	 Frequency : 1
Word :  dimmovane 	 Frequency : 1
Word :  bidet 	 Frequency : 1
Word :  claudelpdf 	 Frequency : 2
Word :  dimpotence 	 Frequency : 5
Word :  excédée 	 Frequency : 1
Word :  landes 	 Frequency : 1
Word :  particulieres 	 Frequency : 1
Word :  aurelia 	 Frequency : 1
Word :  soir!! 	 Frequency : 1
Word :  touxon 	 Frequency : 1
Word :  amycor 	 Frequency : 6
Word :  jure 	 Frequency : 1
Word :  caresser 	 Frequency : 2
Word :  surveilleride 	 Frequency : 1
Word :  faitepas 	 Frequency : 1
Word :  malide 	 Frequency : 2
Word :  cérat 	 Frequency : 4
Word :  apparemment 	 Frequency : 10
Word :  cat 	 Frequency : 36
Word :  pradel 	 Frequency : 1
Word :  ciplusieurs 	 Frequency : 1
Word :  116medecin 	 Frequency : 1
Word :  titanoreine 	 Frequency : 4
Word :  masculins 	 Frequency : 1
Word :  partis 	 Frequency : 8
Word :  desmaris 	 Frequency : 1
Word :  paroles!!!pour 	 Frequency : 1
Word :  cosmoporplaie 	 Frequency : 1
Word :  déclinait 	 Frequency : 1
Word :  somatiques 	 Frequency : 6
Word :  digéré 	 Frequency : 3
Word :  facturé 	 Frequency : 4
Word :  souteien 	 Frequency : 1
Word :  apmidispan 	 Frequency : 1
Word :  voltaire 	 Frequency : 1
Word :  recevra 	 Frequency : 3
Word :  medicamainta 	 Frequency : 1
Word :  ansles 	 Frequency : 1
Word :  orthopédie 	 Frequency : 3
Word :  eval 	 Frequency : 2
Word :  saphènes 	 Frequency : 1
Word :  voltaren 	 Frequency : 3
Word :  2511 	 Frequency : 13
Word :  okcontrôle 	 Frequency : 1
Word :  armes 	 Frequency : 1
Word :  faitta 	 Frequency : 1
Word :  poplitée 	 Frequency : 1
Word :  cesoir 	 Frequency : 1
Word :  2013 	 Frequency : 8
Word :  associer 	 Frequency : 1
Word :  bazard 	 Frequency : 1
Word :  egva 	 Frequency : 1
Word :  tobrexmatin 	 Frequency : 1
Word :  viendrons 	 Frequency : 2
Word :  contentiondautre 	 Frequency : 1
Word :  100m 	 Frequency : 1
Word :  jourrenouvel 	 Frequency : 1
Word :  roussel 	 Frequency : 25
Word :  clemenceau 	 Frequency : 4
Word :  massagemis 	 Frequency : 1
Word :  merçi 	 Frequency : 2
Word :  48 	 Frequency : 12
Word :  traînant 	 Frequency : 1
Word :  berger 	 Frequency : 1
Word :  aborde 	 Frequency : 3
Word :  superficielletension 	 Frequency : 1
Word :  tiroir 	 Frequency : 27
Word :  décembrearrêt 	 Frequency : 1
Word :  vestimentairetrés 	 Frequency : 1
Word :  equipese 	 Frequency : 1
Word :  imprudence 	 Frequency : 1
Word :  rachi 	 Frequency : 1
Word :  anémiepas 	 Frequency : 1
Word :  doreillée 	 Frequency : 2
Word :  auscultaion 	 Frequency : 1
Word :  verbalemetn 	 Frequency : 1
Word :  différente 	 Frequency : 4
Word :  importantbalancement 	 Frequency : 1
Word :  c 	 Frequency : 389
Word :  temporaire 	 Frequency : 5
Word :  2315fille 	 Frequency : 1
Word :  constatésera 	 Frequency : 1
Word :  rassure 	 Frequency : 24
Word :  valoriser 	 Frequency : 14
Word :  18080t367à 	 Frequency : 1
Word :  hemorroides 	 Frequency : 2
Word :  bleu 	 Frequency : 83
Word :  deboutaide 	 Frequency : 1
Word :  7jours 	 Frequency : 2
Word :  entendre 	 Frequency : 35
Word :  pressé 	 Frequency : 2
Word :  20commentaire 	 Frequency : 4
Word :  dubert 	 Frequency : 2
Word :  velomassage 	 Frequency : 1
Word :  ny 	 Frequency : 133
Word :  hydrotac 	 Frequency : 14
Word :  avnce 	 Frequency : 1
Word :  alluméjai 	 Frequency : 1
Word :  doux 	 Frequency : 3
Word :  ronde105 	 Frequency : 1
Word :  habits 	 Frequency : 18
Word :  dépendant 	 Frequency : 3
Word :  plutôt 	 Frequency : 50
Word :  laurianne 	 Frequency : 5
Word :  gauchevue 	 Frequency : 1
Word :  remplis 	 Frequency : 1
Word :  jacentressources 	 Frequency : 1
Word :  eff 	 Frequency : 1
Word :  10h15aujourdhui 	 Frequency : 1
Word :  celuicidouleur 	 Frequency : 1
Word :  mcx 	 Frequency : 1
Word :  juge 	 Frequency : 5
Word :  surle 	 Frequency : 2
Word :  sacharner 	 Frequency : 1
Word :  cohabiter 	 Frequency : 1
Word :  personel 	 Frequency : 1
Word :  379ce 	 Frequency : 1
Word :  plutards 	 Frequency : 1
Word :  18h10 	 Frequency : 2
Word :  lemmener 	 Frequency : 16
Word :  retourdemande 	 Frequency : 1
Word :  double! 	 Frequency : 1
Word :  malentendante 	 Frequency : 2
Word :  recent 	 Frequency : 1
Word :  décroche 	 Frequency : 1
Word :  adapte 	 Frequency : 4
Word :  naussée 	 Frequency : 1
Word :  datait 	 Frequency : 1
Word :  laffecter 	 Frequency : 1
Word :  nousnous 	 Frequency : 1
Word :  diahréeta 	 Frequency : 1
Word :  foy 	 Frequency : 4
Word :  bottine 	 Frequency : 1
Word :  orset 	 Frequency : 9
Word :  rechange 	 Frequency : 4
Word :  jo 	 Frequency : 2
Word :  excerese 	 Frequency : 1
Word :  dsos 	 Frequency : 1
Word :  lenfermer 	 Frequency : 1
Word :  attentifs 	 Frequency : 2
Word :  scolarité 	 Frequency : 1
Word :  droitpied 	 Frequency : 1
Word :  fx 	 Frequency : 1
Word :  1106 	 Frequency : 1
Word :  confirmée 	 Frequency : 2
Word :  lentrejambe 	 Frequency : 1
Word :  jarniac_mutpdf 	 Frequency : 1
Word :  verticalise 	 Frequency : 1
Word :  modalités 	 Frequency : 2
Word :  abstraits 	 Frequency : 1
Word :  16h22hospitalisation 	 Frequency : 1
Word :  limer 	 Frequency : 2
Word :  évoquées 	 Frequency : 1
Word :  loupper 	 Frequency : 1
Word :  91 	 Frequency : 9
Word :  366ta 	 Frequency : 1
Word :  peindresatisfaction 	 Frequency : 1
Word :  lombardelli 	 Frequency : 1
Word :  verticaux 	 Frequency : 1
Word :  médicamenteuse 	 Frequency : 6
Word :  lisse 	 Frequency : 1
Word :  brûlurescatgyno 	 Frequency : 1
Word :  mrjaide 	 Frequency : 1
Word :  sikes 	 Frequency : 1
Word :  underline 	 Frequency : 85
Word :  aatempérature 	 Frequency : 1
Word :  lève!! 	 Frequency : 1
Word :  massée 	 Frequency : 1
Word :  malgrés 	 Frequency : 13
Word :  reévalué 	 Frequency : 2
Word :  jourhier 	 Frequency : 1
Word :  15h10lieu 	 Frequency : 1
Word :  1x3 	 Frequency : 1
Word :  angiologue 	 Frequency : 3
Word :  radiateur 	 Frequency : 9
Word :  totaledeliranteelle 	 Frequency : 1
Word :  dejêuner 	 Frequency : 1
Word :  78praxie 	 Frequency : 1
Word :  noèl 	 Frequency : 1
Word :  pretendant 	 Frequency : 1
Word :  corticothérapie 	 Frequency : 1
Word :  préhensionmb 	 Frequency : 3
Word :  etce 	 Frequency : 1
Word :  consultationelle 	 Frequency : 1
Word :  abrège 	 Frequency : 1
Word :  chambrea 	 Frequency : 33
Word :  dinersur 	 Frequency : 1
Word :  dallo 	 Frequency : 1
Word :  deuxà 	 Frequency : 1
Word :  possiblités 	 Frequency : 1
Word :  triste 	 Frequency : 71
Word :  toilettesautres 	 Frequency : 15
Word :  matinfaire 	 Frequency : 1
Word :  68bdc 	 Frequency : 1
Word :  humeurs 	 Frequency : 3
Word :  2cmp 	 Frequency : 1
Word :  dappréhension 	 Frequency : 2
Word :  accés 	 Frequency : 2
Word :  charlet 	 Frequency : 1
Word :  boirepst 	 Frequency : 1
Word :  rearmer 	 Frequency : 1
Word :  retourdéplacement 	 Frequency : 1
Word :  111 	 Frequency : 17
Word :  23h30 	 Frequency : 26
Word :  6h30 	 Frequency : 15
Word :  edelein 	 Frequency : 1
Word :  dolipranesat 	 Frequency : 1
Word :  berly 	 Frequency : 10
Word :  nocturnessuivi 	 Frequency : 1
Word :  2000 	 Frequency : 2
Word :  josse 	 Frequency : 1
Word :  phosphorescente 	 Frequency : 1
Word :  gauzybandage 	 Frequency : 1
Word :  arrogante 	 Frequency : 1
Word :  nuitdonné 	 Frequency : 1
Word :  ètuie 	 Frequency : 1
Word :  vètementlavé 	 Frequency : 1
Word :  alimentairerefuse 	 Frequency : 1
Word :  bienavoir 	 Frequency : 1
Word :  wertheimsera 	 Frequency : 1
Word :  creusée 	 Frequency : 1
Word :  3000 	 Frequency : 1
Word :  rapprocher 	 Frequency : 6
Word :  bolus 	 Frequency : 1
Word :  rpa 	 Frequency : 1
Word :  problémes 	 Frequency : 1
Word :  litrefuse 	 Frequency : 1
Word :  pt 	 Frequency : 71
Word :  transpirait 	 Frequency : 1
Word :  purulentsnettoyage 	 Frequency : 1
Word :  17h40 	 Frequency : 4
Word :  compliqué 	 Frequency : 17
Word :  retournés 	 Frequency : 1
Word :  étais 	 Frequency : 10
Word :  arrières 	 Frequency : 2
Word :  derrièr 	 Frequency : 1
Word :  embarrassé 	 Frequency : 1
Word :  bouilloireune 	 Frequency : 1
Word :  retournée 	 Frequency : 11
Word :  pasmais 	 Frequency : 1
Word :  ch116 	 Frequency : 1
Word :  masset 	 Frequency : 4
Word :  fugueil 	 Frequency : 1
Word :  réspiratoire 	 Frequency : 1
Word :  45kg 	 Frequency : 1
Word :  tenirprescription 	 Frequency : 1
Word :  douche 	 Frequency : 871
Word :  choixsa 	 Frequency : 1
Word :  perdueje 	 Frequency : 2
Word :  espritne 	 Frequency : 1
Word :  semi 	 Frequency : 7
Word :  responsable 	 Frequency : 17
Word :  accumulation 	 Frequency : 2
Word :  matinfait 	 Frequency : 2
Word :  3xsem 	 Frequency : 2
Word :  creusé 	 Frequency : 1
Word :  préserver 	 Frequency : 12
Word :  deja 	 Frequency : 65
Word :  dobjets 	 Frequency : 6
Word :  aatemperature 	 Frequency : 2
Word :  instructif 	 Frequency : 1
Word :  9h30elle 	 Frequency : 1
Word :  juit 	 Frequency : 1
Word :  sagite 	 Frequency : 3
Word :  laverrincersecheride 	 Frequency : 1
Word :  bouchonattent 	 Frequency : 1
Word :  sopère 	 Frequency : 1
Word :  dépistaxis 	 Frequency : 1
Word :  epouxsa 	 Frequency : 1
Word :  dhospit 	 Frequency : 8
Word :  deambulateurpetit 	 Frequency : 1
Word :  2015ancienne 	 Frequency : 1
Word :  derysipèle 	 Frequency : 1
Word :  sdbtype 	 Frequency : 1
Word :  protegée 	 Frequency : 2
Word :  sajbe 	 Frequency : 1
Word :  accordant 	 Frequency : 1
Word :  dire 	 Frequency : 188
Word :  comment 	 Frequency : 64
Word :  compléter 	 Frequency : 13
Word :  adavid 	 Frequency : 1
Word :  livrent 	 Frequency : 1
Word :  lhydrocol 	 Frequency : 1
Word :  prévus241214220115240215240315240415250515 	 Frequency : 1
Word :  cutanéelaissé 	 Frequency : 1
Word :  15ldocuments 	 Frequency : 1
Word :  inscrits4103122014 	 Frequency : 1
Word :  fibrineuse 	 Frequency : 1
Word :  ferié 	 Frequency : 1
Word :  quesnay 	 Frequency : 1
Word :  11h32personne 	 Frequency : 1
Word :  accompagnantcabinet 	 Frequency : 1
Word :  purpleil 	 Frequency : 1
Word :  necrotique 	 Frequency : 1
Word :  reflet 	 Frequency : 3
Word :  marchedouleur 	 Frequency : 1
Word :  serviettes 	 Frequency : 22
Word :  laotienne 	 Frequency : 1
Word :  cotoneuse 	 Frequency : 1
Word :  débattait 	 Frequency : 1
Word :  endroitreaction 	 Frequency : 1
Word :  tiercan 	 Frequency : 1
Word :  obession 	 Frequency : 1
Word :  salonplaintemis 	 Frequency : 1
Word :  crachatsspan 	 Frequency : 1
Word :  fome 	 Frequency : 1
Word :  aujourdhuiecbu 	 Frequency : 2
Word :  traitementarret 	 Frequency : 1
Word :  prepare 	 Frequency : 6
Word :  vertigessa 	 Frequency : 1
Word :  entreprend 	 Frequency : 1
Word :  ecoli 	 Frequency : 3
Word :  journéelors 	 Frequency : 1
Word :  pincements 	 Frequency : 1
Word :  habitudes 	 Frequency : 22
Word :  telephoné 	 Frequency : 5
Word :  dhemetome 	 Frequency : 1
Word :  lencourageons 	 Frequency : 1
Word :  renouvellementelle 	 Frequency : 1
Word :  difficiler 	 Frequency : 1
Word :  dérysipèle 	 Frequency : 1
Word :  accord 	 Frequency : 96
Word :  330h 	 Frequency : 1
Word :  delirantes 	 Frequency : 4
Word :  protocolenon 	 Frequency : 1
Word :  2015elle 	 Frequency : 1
Word :  refusé 	 Frequency : 307
Word :  seulesemble 	 Frequency : 1
Word :  passerais 	 Frequency : 1
Word :  dordonnances 	 Frequency : 1
Word :  ppadaptation 	 Frequency : 1
Word :  oppressée 	 Frequency : 2
Word :  participéeactivité 	 Frequency : 1
Word :  reddesinfecter 	 Frequency : 1
Word :  repétition 	 Frequency : 1
Word :  60tousse 	 Frequency : 1
Word :  couvre 	 Frequency : 4
Word :  bt 	 Frequency : 13
Word :  glisseok 	 Frequency : 1
Word :  linfirmièreà 	 Frequency : 1
Word :  1901 	 Frequency : 2
Word :  midittt 	 Frequency : 1
Word :  11hsuturée 	 Frequency : 1
Word :  ionogramme 	 Frequency : 2
Word :  hopitalpas 	 Frequency : 2
Word :  soirprescription 	 Frequency : 2
Word :  ophtalmologie 	 Frequency : 1
Word :  smemebres 	 Frequency : 1
Word :  12h15lieu 	 Frequency : 2
Word :  semie 	 Frequency : 1
Word :  iame 	 Frequency : 1
Word :  avont 	 Frequency : 8
Word :  gélifiée 	 Frequency : 19
Word :  promettre 	 Frequency : 1
Word :  tampe 	 Frequency : 1
Word :  méchantes 	 Frequency : 1
Word :  soirrepas 	 Frequency : 2
Word :  185105 	 Frequency : 1
Word :  lintervention 	 Frequency : 12
Word :  12h18observations 	 Frequency : 1
Word :  augmentinkiné 	 Frequency : 1
Word :  15h14 	 Frequency : 1
Word :  noncause 	 Frequency : 3
Word :  ulcers 	 Frequency : 1
Word :  cetais 	 Frequency : 1
Word :  étre 	 Frequency : 6
Word :  detartrage 	 Frequency : 1
Word :  piquant 	 Frequency : 1
Word :  enrouéet382a 	 Frequency : 1
Word :  parfait 	 Frequency : 3
Word :  répétitionautres 	 Frequency : 1
Word :  enchanté 	 Frequency : 2
Word :  regardez 	 Frequency : 1
Word :  rapprochement 	 Frequency : 9
Word :  dispositif 	 Frequency : 9
Word :  lhuile 	 Frequency : 9
Word :  emporté 	 Frequency : 2
Word :  synonyme 	 Frequency : 1
Word :  tetet367c 	 Frequency : 1
Word :  dentiste 	 Frequency : 137
Word :  paset 	 Frequency : 1
Word :  1tartine 	 Frequency : 1
Word :  tracasser 	 Frequency : 2
Word :  desorientee 	 Frequency : 2
Word :  directrice 	 Frequency : 13
Word :  3001 	 Frequency : 1
Word :  surveillancedefaillance 	 Frequency : 1
Word :  anxiétéla 	 Frequency : 1
Word :  tjour 	 Frequency : 1
Word :  deglutitions 	 Frequency : 2
Word :  152 	 Frequency : 3
Word :  ve 	 Frequency : 1
Word :  378 	 Frequency : 13
Word :  véritablement 	 Frequency : 1
Word :  10h45lieu 	 Frequency : 3
Word :  dallergie 	 Frequency : 3
Word :  retarder 	 Frequency : 2
Word :  abdominalpas 	 Frequency : 1
Word :  jourprochain 	 Frequency : 2
Word :  vanin 	 Frequency : 2
Word :  lavertir 	 Frequency : 2
Word :  surgences 	 Frequency : 1
Word :  avpoir 	 Frequency : 1
Word :  13965pouls 	 Frequency : 1
Word :  migraines 	 Frequency : 2
Word :  conue 	 Frequency : 1
Word :  osseux 	 Frequency : 3
Word :  dadmission 	 Frequency : 1
Word :  fièvreabsence 	 Frequency : 1
Word :  gênée 	 Frequency : 16
Word :  lorsquil 	 Frequency : 34
Word :  vat 	 Frequency : 1
Word :  105pls 	 Frequency : 1
Word :  20h00autres 	 Frequency : 1
Word :  exprès 	 Frequency : 3
Word :  calciparine 	 Frequency : 8
Word :  gini 	 Frequency : 1
Word :  renseignements 	 Frequency : 13
Word :  péri 	 Frequency : 2
Word :  367span 	 Frequency : 1
Word :  jaurais 	 Frequency : 1
Word :  pompier 	 Frequency : 5
Word :  medecla 	 Frequency : 1
Word :  gonnaud 	 Frequency : 1
Word :  daurelie 	 Frequency : 1
Word :  bobin 	 Frequency : 4
Word :  pmsurveillance 	 Frequency : 1
Word :  soupledéambulations 	 Frequency : 1
Word :  nordazfaxée 	 Frequency : 1
Word :  mettons 	 Frequency : 6
Word :  lhibiscrub 	 Frequency : 1
Word :  menisques 	 Frequency : 1
Word :  douchelui 	 Frequency : 1
Word :  jaune 	 Frequency : 19
Word :  hemoroide 	 Frequency : 1
Word :  abscent 	 Frequency : 3
Word :  droitenous 	 Frequency : 1
Word :  contusives 	 Frequency : 1
Word :  totalpansment 	 Frequency : 1
Word :  12h01observations 	 Frequency : 1
Word :  gauchechoqué 	 Frequency : 1
Word :  medecme 	 Frequency : 1
Word :  allumons 	 Frequency : 1
Word :  sisole 	 Frequency : 7
Word :  102 	 Frequency : 5
Word :  diclofanac 	 Frequency : 1
Word :  trouvés 	 Frequency : 1
Word :  lesions 	 Frequency : 10
Word :  seringues 	 Frequency : 1
Word :  psychologie02122014 	 Frequency : 3
Word :  vivierqui 	 Frequency : 1
Word :  !je 	 Frequency : 1
Word :  articuler 	 Frequency : 3
Word :  matine 	 Frequency : 1
Word :  maide 	 Frequency : 2
Word :  rn 	 Frequency : 1
Word :  armel 	 Frequency : 1
Word :  reveiller 	 Frequency : 20
Word :  déambulaitdans 	 Frequency : 1
Word :  autrestechnique 	 Frequency : 1
Word :  gounernante 	 Frequency : 1
Word :  boldvaloriser 	 Frequency : 1
Word :  lentends 	 Frequency : 3
Word :  prévenirnous 	 Frequency : 1
Word :  supplémentaire 	 Frequency : 7
Word :  deambuleun 	 Frequency : 1
Word :  loedème 	 Frequency : 3
Word :  deceleettt 	 Frequency : 1
Word :  080 	 Frequency : 1
Word :  sêtre 	 Frequency : 29
Word :  0562474755 	 Frequency : 1
Word :  séchées 	 Frequency : 1
Word :  gyneco 	 Frequency : 1
Word :  adlerpdf 	 Frequency : 3
Word :  chambreconstantes 	 Frequency : 1
Word :  souhaites 	 Frequency : 1
Word :  bourré 	 Frequency : 1
Word :  bergerac 	 Frequency : 2
Word :  belcourt 	 Frequency : 1
Word :  lacourmme 	 Frequency : 1
Word :  vie16h03 	 Frequency : 3
Word :  infectés 	 Frequency : 1
Word :  fièvresouhaite 	 Frequency : 1
Word :  p68bpm 	 Frequency : 1
Word :  17569 	 Frequency : 1
Word :  prévenuecommunication 	 Frequency : 1
Word :  signaléeta 	 Frequency : 1
Word :  spatiotemporaux 	 Frequency : 1
Word :  portail 	 Frequency : 4
Word :  !!a 	 Frequency : 1
Word :  écho 	 Frequency : 21
Word :  parolessatisfaction 	 Frequency : 1
Word :  t386 	 Frequency : 1
Word :  nuitréévaluer 	 Frequency : 1
Word :  mediumgoûter 	 Frequency : 1
Word :  weekend 	 Frequency : 36
Word :  mb 	 Frequency : 6
Word :  gondelaud 	 Frequency : 2
Word :  réinvestit 	 Frequency : 1
Word :  dannaud 	 Frequency : 1
Word :  uniforme 	 Frequency : 1
Word :  dappeler 	 Frequency : 34
Word :  désordre 	 Frequency : 7
Word :  maitre 	 Frequency : 1
Word :  seulsur 	 Frequency : 1
Word :  rdcpas 	 Frequency : 1
Word :  pudique 	 Frequency : 1
Word :  whitepour 	 Frequency : 1
Word :  kinéla 	 Frequency : 1
Word :  rougebouche 	 Frequency : 1
Word :  mandataire 	 Frequency : 2
Word :  13h58 	 Frequency : 1
Word :  cannenon 	 Frequency : 1
Word :  soirmme 	 Frequency : 1
Word :  suicidairescette 	 Frequency : 1
Word :  nourrice 	 Frequency : 1
Word :  cremea 	 Frequency : 1
Word :  diallo 	 Frequency : 1
Word :  use 	 Frequency : 1
Word :  visulin 	 Frequency : 2
Word :  chir 	 Frequency : 18
Word :  mêmeessayer 	 Frequency : 1
Word :  teronne 	 Frequency : 3
Word :  chgeàpres 	 Frequency : 1
Word :  positifleucocyturie 	 Frequency : 1
Word :  avertie 	 Frequency : 69
Word :  marcher 	 Frequency : 133
Word :  09h29 	 Frequency : 2
Word :  flécaïne 	 Frequency : 1
Word :  13h23 	 Frequency : 2
Word :  thourot 	 Frequency : 1
Word :  paharmacie 	 Frequency : 1
Word :  resservis 	 Frequency : 1
Word :  nuitaccompagnement 	 Frequency : 1
Word :  désincrustant 	 Frequency : 1
Word :  525appel 	 Frequency : 1
Word :  8289 	 Frequency : 1
Word :  ressentent 	 Frequency : 1
Word :  prevenurestee 	 Frequency : 1
Word :  pleuralsous 	 Frequency : 1
Word :  déhabillage 	 Frequency : 1
Word :  lillespan 	 Frequency : 1
Word :  bouchaib 	 Frequency : 2
Word :  dermachronic 	 Frequency : 1
Word :  stricte 	 Frequency : 4
Word :  cardiaquesera 	 Frequency : 1
Word :  participait 	 Frequency : 5
Word :  fatiguéj 	 Frequency : 1
Word :  cours 	 Frequency : 165
Word :  palaint 	 Frequency : 1
Word :  insinuationsses 	 Frequency : 1
Word :  15h15médecin 	 Frequency : 1
Word :  distant 	 Frequency : 2
Word :  10commentaire 	 Frequency : 3
Word :  kessler 	 Frequency : 1
Word :  partircherche 	 Frequency : 1
Word :  64commentaire 	 Frequency : 1
Word :  laque 	 Frequency : 1
Word :  cst 	 Frequency : 5
Word :  voulions 	 Frequency : 1
Word :  oublie 	 Frequency : 20
Word :  neuropathique 	 Frequency : 1
Word :  kinéspan 	 Frequency : 2
Word :  pehaf 	 Frequency : 1
Word :  femmedes 	 Frequency : 1
Word :  purplevu 	 Frequency : 1
Word :  aupès 	 Frequency : 2
Word :  inflammatoireqques 	 Frequency : 1
Word :  rarement 	 Frequency : 13
Word :  16h23type 	 Frequency : 1
Word :  cessentpoursuite 	 Frequency : 1
Word :  ascenceurs 	 Frequency : 1
Word :  recueillies 	 Frequency : 1
Word :  léteindre 	 Frequency : 2
Word :  recrache 	 Frequency : 11
Word :  jeffectue 	 Frequency : 1
Word :  joursfausses 	 Frequency : 1
Word :  kamel 	 Frequency : 4
Word :  guillemot 	 Frequency : 4
Word :  z 	 Frequency : 2
Word :  yellowmettre 	 Frequency : 4
Word :  dégenette 	 Frequency : 1
Word :  durieux 	 Frequency : 4
Word :  peit 	 Frequency : 1
Word :  8756 	 Frequency : 1
Word :  desoriantee 	 Frequency : 1
Word :  noroxine 	 Frequency : 3
Word :  typique 	 Frequency : 1
Word :  retirémerci 	 Frequency : 1
Word :  pressantes 	 Frequency : 1
Word :  pvieddi 	 Frequency : 1
Word :  stephane 	 Frequency : 2
Word :  sureviller 	 Frequency : 1
Word :  123314commentaire 	 Frequency : 1
Word :  rossoni 	 Frequency : 1
Word :  lavantbras 	 Frequency : 2
Word :  lhermitageen 	 Frequency : 1
Word :  p 	 Frequency : 195
Word :  377ca 	 Frequency : 1
Word :  ramassée 	 Frequency : 4
Word :  hospitdeshydratation 	 Frequency : 1
Word :  devra 	 Frequency : 20
Word :  lumières 	 Frequency : 9
Word :  15h30vu 	 Frequency : 1
Word :  annéesdiv 	 Frequency : 1
Word :  personne 	 Frequency : 152
Word :  ts 	 Frequency : 16
Word :  fumé 	 Frequency : 2
Word :  axes 	 Frequency : 1
Word :  pcen 	 Frequency : 1
Word :  18hreste 	 Frequency : 1
Word :  probabiliste 	 Frequency : 1
Word :  photocopiée 	 Frequency : 1
Word :  loccurence 	 Frequency : 1
Word :  toile 	 Frequency : 3
Word :  !de 	 Frequency : 1
Word :  semainefaire 	 Frequency : 1
Word :  manipulationsfléchissement 	 Frequency : 1
Word :  lembetterais 	 Frequency : 1
Word :  animationsavait 	 Frequency : 1
Word :  4gr 	 Frequency : 1
Word :  remettreaérosols 	 Frequency : 1
Word :  coucherpar 	 Frequency : 1
Word :  23h50 	 Frequency : 2
Word :  arefusé 	 Frequency : 2
Word :  1812fils 	 Frequency : 1
Word :  midipar 	 Frequency : 2
Word :  eliminerrésultats 	 Frequency : 1
Word :  contacterons 	 Frequency : 2
Word :  cuillerees 	 Frequency : 2
Word :  jeuniauxpar 	 Frequency : 1
Word :  frond 	 Frequency : 2
Word :  peristante 	 Frequency : 1
Word :  cicatrisationtalons 	 Frequency : 1
Word :  jourazyter 	 Frequency : 1
Word :  cabartier 	 Frequency : 8
Word :  pullopps 	 Frequency : 1
Word :  peuà 	 Frequency : 1
Word :  lafficher 	 Frequency : 1
Word :  01h20lieu 	 Frequency : 1
Word :  dhydrate 	 Frequency : 2
Word :  ennuyereprouve 	 Frequency : 1
Word :  longueur 	 Frequency : 3
Word :  réagir 	 Frequency : 1
Word :  jetter 	 Frequency : 2
Word :  carrence 	 Frequency : 2
Word :  rdcappel 	 Frequency : 1
Word :  mtro 	 Frequency : 7
Word :  12122014contenu 	 Frequency : 12
Word :  envisagée 	 Frequency : 4
Word :  15h29 	 Frequency : 1
Word :  essoufflée 	 Frequency : 12
Word :  ta126pouls59 	 Frequency : 1
Word :  membrest 	 Frequency : 1
Word :  avait 	 Frequency : 814
Word :  compétitions 	 Frequency : 1
Word :  frères 	 Frequency : 16
Word :  arthrosea 	 Frequency : 2
Word :  presquile 	 Frequency : 1
Word :  dhallucinations 	 Frequency : 3
Word :  prothèse2 	 Frequency : 1
Word :  kystelipôme 	 Frequency : 1
Word :  penderie 	 Frequency : 3
Word :  stephan2 	 Frequency : 1
Word :  500mlpas 	 Frequency : 1
Word :  secret 	 Frequency : 3
Word :  tombée17h30 	 Frequency : 1
Word :  deviennent 	 Frequency : 3
Word :  transmissionstransmissions 	 Frequency : 1
Word :  courrierressources 	 Frequency : 1
Word :  moukrani 	 Frequency : 2
Word :  antidiarhéïque 	 Frequency : 1
Word :  idecuisine 	 Frequency : 1
Word :  agrippal 	 Frequency : 1
Word :  solà 	 Frequency : 1
Word :  dégradation 	 Frequency : 10
Word :  ventilation 	 Frequency : 3
Word :  faites 	 Frequency : 28
Word :  pompiers 	 Frequency : 29
Word :  00h01 	 Frequency : 2
Word :  couteau 	 Frequency : 2
Word :  11h12 	 Frequency : 3
Word :  jourvertiges 	 Frequency : 1
Word :  lithiase 	 Frequency : 3
Word :  212211 	 Frequency : 1
Word :  régulièreordo 	 Frequency : 1
Word :  mesuresvu 	 Frequency : 1
Word :  pasde 	 Frequency : 1
Word :  palliettées 	 Frequency : 1
Word :  sommes 	 Frequency : 60
Word :  arthrosique 	 Frequency : 3
Word :  oriente 	 Frequency : 1
Word :  machoire500mg 	 Frequency : 1
Word :  prèvenue 	 Frequency : 4
Word :  parmi 	 Frequency : 7
Word :  ch05 	 Frequency : 1
Word :  pocheavait 	 Frequency : 1
Word :  protectionma 	 Frequency : 1
Word :  récupérer 	 Frequency : 40
Word :  couette 	 Frequency : 3
Word :  alcoolisee 	 Frequency : 1
Word :  elleagressive 	 Frequency : 1
Word :  lydia 	 Frequency : 5
Word :  belarbi 	 Frequency : 1
Word :  71elle 	 Frequency : 1
Word :  hdj 	 Frequency : 2
Word :  parametre 	 Frequency : 6
Word :  lentretiend 	 Frequency : 1
Word :  duranrt 	 Frequency : 1
Word :  loto 	 Frequency : 29
Word :  agitéecelle 	 Frequency : 1
Word :  propore 	 Frequency : 1
Word :  taie 	 Frequency : 4
Word :  19h07 	 Frequency : 1
Word :  faciés 	 Frequency : 1
